smiles
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=CC(C4=CC=C(C5=CC=CS5)S4)=C4C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C(=C43)C=C2)C1=O
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=CC(C4=CC=C(C5=CC=CS5)S4)=C4C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C(=C43)C=C2)C1=O
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4C(=C3)C3=C(C=C(C5=C(OCC(CC)CCCC)C=C(/C=C6\C(=O)C7=CC=C(F)C=C7C6=C(C#N)C#N)S5)S3)C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C2C=C(C2=C(OCC(CC)CCCC)C=C(/C=C4\C(=O)C5=CC=C(F)C=C5C4=C(C#N)C#N)S2)S3)C=C1
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC4=C3SC(/C=C3\C(=O)C5=CC(Cl)=C(Cl)C=C5C3=C(C#N)C#N)=C4)C3=C2C2=C(S3)C3=C(S2)C2=C(C4=C(C=C(/C=C5\C(=O)C6=CC(Cl)=C(Cl)C=C6C5=C(C#N)C#N)S4)S2)C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C=C1
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC4=C3SC(C=C3C(=O)N(CC)C(=S)N(CC)C3=O)=C4)C3=C2C2=C(S3)C3=C(S2)C2=C(C4=C(C=C(C=C5C(=O)N(CC)C(=S)N(CC)C5=O)S4)S2)C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C=C1
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(C5=C(OCC(CC)CCCC)C=C(/C=C6\C(=O)C7=CC=C(F)C=C7C6=C(C#N)C#N)S5)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(C2=C(OCC(CC)CCCC)C=C(/C=C4\C(=O)C5=CC=C(F)C=C5C4=C(C#N)C#N)S2)=C3)C=C1
CCCCCCCCC1(CCCCCCCC)C2=C(C=C3C(=C2)C2=C(C=C(C4=CC=C(C=C(C#N)C#N)C5=NSN=C45)S2)C3(CCCCCCCC)CCCCCCCC)C2=C1C=C(C1=CC=C(C=C(C#N)C#N)C3=NSN=C13)S2
CCCCCCCCC1=C(/C=C2\C(=O)C3=CC(Cl)=C(Cl)C=C3C2=C(C#N)C#N)SC2=C1SC1=C2C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C1SC1=C2SC2=C1C(C1=CC=C(CCCCCC)C=C1)(C1=CC=C(CCCCCC)C=C1)C1=C2SC2=C1SC(/C=C1\C(=O)C3=CC(Cl)=C(Cl)C=C3C1=C(C#N)C#N)=C2CCCCCCCC
CCCCCCCCCC1=C(/C=C/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C/C=C2\C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)=C1CCCCCCCCC
CCCCCCCCOC1=C2SC3=C(C2=C(OCCCCCCCC)C2=C1C1=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC=C(F)C=C5C4=C(C#N)C#N)S2)C1(C1=CC=C(CCCCCC)C=C1)C1=CC=C(CCCCCC)C=C1)C(C1=CC=C(CCCCCC)C=C1)(C1=CC=C(CCCCCC)C=C1)C1=C3SC(/C=C2\C(=O)C3=CC=C(F)C=C3C2=C(C#N)C#N)=C1
